#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.350000	-0.879882	0.000340	0.105590	0.000239	5.524989	0.035570	3.943772	0.030166
0.354000	-0.894096	0.000446	0.109246	0.000383	5.967699	0.030578	3.935500	0.021719
0.357000	-0.909391	0.000263	0.113117	0.000421	6.328193	0.050586	4.081066	0.027341
0.361000	-0.923579	0.000366	0.118123	0.000389	6.838316	0.043349	4.097404	0.024816
0.365000	-0.939189	0.000367	0.123714	0.000411	7.461334	0.054917	4.209386	0.028647
0.368000	-0.954402	0.000363	0.128790	0.000338	8.132784	0.035172	4.312213	0.029629
0.372000	-0.970135	0.000252	0.134730	0.000323	8.838900	0.062592	4.379055	0.035820
0.376000	-0.987296	0.000198	0.141794	0.000313	9.764658	0.062240	4.574166	0.051381
0.379000	-1.004112	0.000351	0.148585	0.000632	10.601474	0.059713	4.619180	0.032824
0.383000	-1.020685	0.000358	0.157268	0.000561	11.743889	0.079328	4.749977	0.038868
0.387000	-1.038381	0.000330	0.166837	0.000513	13.053249	0.091183	4.915588	0.030692
0.390000	-1.057108	0.000266	0.178259	0.000597	14.743382	0.075409	5.039788	0.048461
0.394000	-1.075318	0.000368	0.190201	0.000477	16.588133	0.063642	5.298955	0.032901
0.398000	-1.095000	0.000461	0.204014	0.000759	18.509092	0.090687	5.403897	0.035061
0.401000	-1.115651	0.000451	0.221419	0.000597	21.191114	0.121315	5.726203	0.045751
0.405000	-1.136602	0.000395	0.239959	0.000704	23.995532	0.130099	6.056937	0.032594
0.409000	-1.159428	0.000361	0.265993	0.000615	27.487883	0.160104	6.418616	0.047684
0.412000	-1.183771	0.000456	0.292519	0.000731	30.972092	0.205526	6.742841	0.025505
0.415000	-1.202892	0.000353	0.316551	0.001150	34.199448	0.093870	7.306548	0.049154
0.416000	-1.209731	0.000335	0.327895	0.000620	35.130061	0.204086	7.372637	0.039565
0.419000	-1.232337	0.000443	0.358242	0.000694	38.426184	0.131037	7.965553	0.061655
0.420000	-1.238851	0.000450	0.367408	0.000936	39.185993	0.126914	8.188745	0.044661
0.423000	-1.268082	0.000485	0.409202	0.001339	42.296134	0.116713	8.647421	0.051937
0.427000	-1.301888	0.000577	0.461842	0.000978	43.639708	0.179111	9.317378	0.056438
0.431000	-1.337105	0.000332	0.516655	0.000977	42.282952	0.249834	9.723503	0.049460
0.434000	-1.374206	0.000362	0.573045	0.001492	38.726151	0.457783	9.872235	0.031871
0.435000	-1.378493	0.000317	0.580286	0.000998	37.596973	0.216174	9.840091	0.065303
0.438000	-1.408398	0.000386	0.623223	0.000915	33.065709	0.254874	9.708857	0.054197
0.439000	-1.418714	0.000426	0.637741	0.000989	31.494115	0.423572	9.676790	0.067108
0.442000	-1.443253	0.000362	0.670401	0.000674	26.460096	0.239499	9.204470	0.081149
0.443000	-1.456352	0.000430	0.688364	0.000627	23.521841	0.240738	8.910603	0.052826
0.445000	-1.476762	0.000515	0.712789	0.000710	19.989594	0.282976	8.428940	0.049594
0.447000	-1.490745	0.000438	0.728147	0.000724	17.468712	0.263327	8.124333	0.046945
0.449000	-1.506848	0.000267	0.746189	0.000420	14.751590	0.265348	7.744792	0.051909
0.451000	-1.521867	0.000418	0.761524	0.000608	12.754575	0.287926	7.435839	0.052019
0.453000	-1.533772	0.000392	0.773671	0.000538	10.872712	0.125691	7.184273	0.038685
0.455000	-1.549668	0.000511	0.788149	0.000507	8.831633	0.104643	6.709168	0.052522
0.456000	-1.558206	0.000392	0.795401	0.000600	8.179529	0.245341	6.472463	0.032505
0.460000	-1.581687	0.000401	0.815371	0.000474	5.661760	0.126913	5.869339	0.033629
